Treatment Run Filter Random Uniform.mutation Uniform.close.mutation Alternation Alternation.Uniform.Mutation
SMAC 0 Instruction 2 44 14 18 17
SMAC 0 Ancestry 12 103 176 75 95
SMAC 0 Gene 2 44 14 18 17
SMAC 0 LastGen 0 360 61 36 543
SMAC 1 Ancestry 4 9 3 1 7
SMAC 1 Gene 3 7 3 1 6
SMAC 1 Instruction 3 7 3 1 6
SMAC 1 LastGen 0 390 44 27 539
SMAC 2 Ancestry 10 371 693 338 400
SMAC 2 Gene 1 15 22 11 22
SMAC 2 Instruction 1 21 22 14 25
SMAC 2 LastGen 0 285 47 33 436
SMAC 3 Ancestry 9 48 72 21 63
SMAC 3 Gene 3 13 21 5 26
SMAC 3 Instruction 3 13 21 5 26
SMAC 3 LastGen 0 347 70 39 544
SMAC 4 Ancestry 11 254 1792 529 194
SMAC 4 Gene 1 35 240 60 24
SMAC 4 Instruction 2 58 326 89 37
SMAC 4 LastGen 0 297 51 32 426
SMAC 6 Ancestry 5 26 61 37 25
SMAC 6 Gene 1 5 7 6 8
SMAC 6 Instruction 1 5 7 6 8
SMAC 6 LastGen 0 343 66 35 556
SMAC 7 Ancestry 6 71 136 61 88
SMAC 7 Gene 2 18 42 16 24
SMAC 7 Instruction 2 18 42 16 24
SMAC 7 LastGen 0 345 63 37 555
SMAC 8 Ancestry 6 34 50 21 26
SMAC 8 Gene 1 14 4 4 6
SMAC 8 Instruction 1 14 4 4 6
SMAC 8 LastGen 0 357 53 49 541
SMAC 9 Ancestry 6 231 916 359 209
SMAC 9 Gene 1 24 53 22 17
SMAC 9 Instruction 1 24 53 22 17
SMAC 9 LastGen 0 343 59 42 556
Standard 1 Ancestry 19 654 147 497 1065
Standard 1 Gene 2 27 6 22 56
Standard 1 Instruction 2 27 6 22 56
Standard 1 LastGen 0 232 89 187 492
Standard 7 Ancestry 14 823 443 646 1087
Standard 7 Gene 5 85 48 79 164
Standard 7 Instruction 5 85 48 79 164
Standard 7 LastGen 0 196 95 182 527
Standard 8 Ancestry 15 7831 1823 4639 8058
Standard 8 Gene 4 120 519 290 520
Standard 8 Instruction 4 122 544 311 547
Standard 8 LastGen 0 182 105 198 515
Standard 3 Ancestry 16 7239 2998 4008 7790
Standard 3 Gene 9 563 256 270 435
Standard 3 Instruction 10 580 266 278 456
Standard 4 Ancestry 17 9570 4848 6751 13889
Standard 4 Gene 2 421 196 261 532
Standard 4 Instruction 2 438 207 275 556
Standard 4 LastGen 0 197 124 169 510
