Treatment Run Success Num.generations
Standard 1000 FALSE 300
Standard 1001 TRUE 30
Standard 1002 FALSE 300
Standard 1003 TRUE 149
Standard 1004 TRUE 153
Standard 1005 FALSE 300
Standard 1006 FALSE 300
Standard 1007 TRUE 44
Standard 1008 TRUE 152
Standard 1009 FALSE 300
SMAC 1000 TRUE 54
SMAC 1001 TRUE 10
SMAC 1002 TRUE 64
SMAC 1003 TRUE 21
SMAC 1004 TRUE 176
SMAC 1005 FALSE 300
SMAC 1006 TRUE 21
SMAC 1007 TRUE 40
SMAC 1008 TRUE 21
SMAC 1009 TRUE 96
SMAC 0 TRUE 30
SMAC 10 TRUE 12
SMAC 11 TRUE 28
SMAC 12 TRUE 33
SMAC 13 TRUE 55
SMAC 14 TRUE 27
SMAC 15 TRUE 30
SMAC 16 TRUE 93
SMAC 17 TRUE 21
SMAC 18 TRUE 53
SMAC 19 TRUE 289
SMAC 1 TRUE 72
SMAC 20 TRUE 47
SMAC 21 TRUE 81
SMAC 22 TRUE 21
SMAC 23 TRUE 34
SMAC 25 TRUE 131
SMAC 26 TRUE 91
SMAC 27 TRUE 87
SMAC 28 TRUE 42
SMAC 29 TRUE 16
SMAC 2 TRUE 23
SMAC 30 TRUE 36
SMAC 31 TRUE 213
SMAC 32 TRUE 198
SMAC 33 TRUE 79
SMAC 34 TRUE 30
SMAC 35 TRUE 59
SMAC 36 TRUE 146
SMAC 37 TRUE 27
SMAC 38 TRUE 15
SMAC 39 TRUE 23
SMAC 3 TRUE 37
SMAC 40 TRUE 40
SMAC 41 TRUE 46
SMAC 43 TRUE 56
SMAC 44 TRUE 28
SMAC 45 TRUE 30
SMAC 46 TRUE 58
SMAC 47 TRUE 40
SMAC 48 TRUE 123
SMAC 49 TRUE 26
SMAC 4 TRUE 27
SMAC 50 TRUE 28
SMAC 51 TRUE 54
SMAC 52 TRUE 6
SMAC 53 TRUE 28
SMAC 54 TRUE 167
SMAC 55 TRUE 72
SMAC 56 TRUE 47
SMAC 57 TRUE 29
SMAC 58 TRUE 229
SMAC 59 TRUE 88
SMAC 5 TRUE 66
SMAC 60 TRUE 109
SMAC 61 TRUE 16
SMAC 62 TRUE 100
SMAC 63 TRUE 68
SMAC 64 TRUE 90
SMAC 65 TRUE 184
SMAC 66 TRUE 39
SMAC 69 TRUE 26
SMAC 6 TRUE 81
SMAC 70 TRUE 40
SMAC 71 TRUE 47
SMAC 72 TRUE 57
SMAC 73 TRUE 51
SMAC 74 TRUE 134
SMAC 75 TRUE 21
SMAC 76 TRUE 49
SMAC 77 TRUE 95
SMAC 78 TRUE 62
SMAC 79 TRUE 39
SMAC 7 TRUE 29
SMAC 80 TRUE 46
SMAC 81 TRUE 99
SMAC 82 TRUE 191
SMAC 83 TRUE 17
SMAC 84 TRUE 24
SMAC 85 TRUE 25
SMAC 86 TRUE 63
SMAC 87 TRUE 76
SMAC 88 TRUE 14
SMAC 89 TRUE 44
SMAC 8 TRUE 299
SMAC 90 TRUE 53
SMAC 91 TRUE 17
SMAC 93 TRUE 47
SMAC 94 TRUE 21
SMAC 95 TRUE 47
SMAC 96 TRUE 25
SMAC 97 TRUE 41
SMAC 98 TRUE 31
SMAC 99 TRUE 14
SMAC 9 TRUE 85
SMAC 24 FALSE 300
SMAC 42 FALSE 300
SMAC 67 FALSE 300
SMAC 68 FALSE 300
SMAC 92 FALSE 300
Standard 11 FALSE 300
Standard 14 FALSE 300
Standard 16 FALSE 300
Standard 17 FALSE 300
Standard 18 FALSE 300
Standard 1 FALSE 300
Standard 20 FALSE 300
Standard 21 FALSE 300
Standard 22 FALSE 300
Standard 25 FALSE 300
Standard 26 FALSE 300
Standard 28 FALSE 300
Standard 29 FALSE 300
Standard 31 FALSE 300
Standard 35 FALSE 300
Standard 36 FALSE 300
Standard 40 FALSE 300
Standard 42 FALSE 300
Standard 47 FALSE 300
Standard 49 FALSE 300
Standard 50 FALSE 300
Standard 51 FALSE 300
Standard 54 FALSE 300
Standard 55 FALSE 300
Standard 57 FALSE 300
Standard 5 FALSE 300
Standard 61 FALSE 300
Standard 63 FALSE 300
Standard 64 FALSE 300
Standard 65 FALSE 300
Standard 66 FALSE 300
Standard 69 FALSE 300
Standard 6 FALSE 300
Standard 71 FALSE 300
Standard 76 FALSE 300
Standard 7 FALSE 300
Standard 80 FALSE 300
Standard 83 FALSE 300
