Treatment Run Minutes Success
SMAC 0 32 TRUE
SMAC 1 91 TRUE
SMAC 2 51 TRUE
SMAC 3 47 TRUE
SMAC 4 33 TRUE
SMAC 5 98 TRUE
SMAC 6 120 TRUE
SMAC 7 25 TRUE
SMAC 8 288 TRUE
SMAC 9 113 TRUE
SMAC 10 17 TRUE
SMAC 11 51 TRUE
SMAC 12 79 TRUE
SMAC 13 140 TRUE
SMAC 14 40 TRUE
SMAC 15 47 TRUE
SMAC 16 113 TRUE
SMAC 17 27 TRUE
SMAC 18 72 TRUE
SMAC 19 323 TRUE
SMAC 20 51 TRUE
SMAC 21 89 TRUE
SMAC 22 20 TRUE
SMAC 23 29 TRUE
SMAC 24 494 FALSE
SMAC 25 331 TRUE
SMAC 26 96 TRUE
SMAC 27 109 TRUE
SMAC 28 53 TRUE
SMAC 29 36 TRUE
SMAC 30 80 TRUE
SMAC 31 272 TRUE
SMAC 32 253 TRUE
SMAC 33 87 TRUE
SMAC 34 29 TRUE
SMAC 35 125 TRUE
SMAC 36 326 TRUE
SMAC 37 49 TRUE
SMAC 38 28 TRUE
SMAC 39 40 TRUE
SMAC 40 45 TRUE
SMAC 41 66 TRUE
SMAC 42 451 FALSE
SMAC 43 54 TRUE
SMAC 44 40 TRUE
SMAC 45 39 TRUE
SMAC 46 68 TRUE
SMAC 47 58 TRUE
SMAC 48 134 TRUE
SMAC 49 43 TRUE
SMAC 50 44 TRUE
SMAC 51 92 TRUE
SMAC 52 12 TRUE
SMAC 53 52 TRUE
SMAC 54 175 TRUE
SMAC 55 109 TRUE
SMAC 56 51 TRUE
SMAC 57 39 TRUE
SMAC 58 415 TRUE
SMAC 59 122 TRUE
SMAC 60 117 TRUE
SMAC 61 34 TRUE
SMAC 62 144 TRUE
SMAC 63 116 TRUE
SMAC 64 117 TRUE
SMAC 65 346 TRUE
SMAC 66 94 TRUE
SMAC 67 419 FALSE
SMAC 68 492 FALSE
SMAC 69 39 TRUE
SMAC 70 46 TRUE
SMAC 71 52 TRUE
SMAC 72 96 TRUE
SMAC 73 67 TRUE
SMAC 74 134 TRUE
SMAC 75 44 TRUE
SMAC 76 77 TRUE
SMAC 77 110 TRUE
SMAC 78 111 TRUE
SMAC 79 66 TRUE
SMAC 80 52 TRUE
SMAC 81 112 TRUE
SMAC 82 237 TRUE
SMAC 83 22 TRUE
SMAC 84 36 TRUE
SMAC 85 30 TRUE
SMAC 86 96 TRUE
SMAC 87 79 TRUE
SMAC 88 23 TRUE
SMAC 89 92 TRUE
SMAC 90 61 TRUE
SMAC 91 40 TRUE
SMAC 92 723 FALSE
SMAC 93 88 TRUE
SMAC 94 32 TRUE
SMAC 95 56 TRUE
SMAC 96 35 TRUE
SMAC 97 51 TRUE
SMAC 98 42 TRUE
SMAC 99 15 TRUE
Standard 0 178 TRUE
Standard 1 786 FALSE
Standard 2 47 TRUE
Standard 3 97 TRUE
Standard 4 131 TRUE
Standard 5 630 FALSE
Standard 6 557 FALSE
Standard 7 1037 FALSE
Standard 8 77 TRUE
Standard 9 341 TRUE
Standard 10 696 TRUE
Standard 11 874 FALSE
Standard 12 245 TRUE
Standard 13 132 TRUE
Standard 14 567 FALSE
Standard 15 68 TRUE
Standard 16 1348 FALSE
Standard 17 1725 FALSE
Standard 18 611 FALSE
Standard 19 100 TRUE
Standard 20 936 FALSE
Standard 21 978 FALSE
Standard 22 491 FALSE
Standard 23 170 TRUE
Standard 24 73 TRUE
Standard 25 427 FALSE
Standard 26 1096 FALSE
Standard 27 170 TRUE
Standard 28 711 FALSE
Standard 29 820 FALSE
Standard 30 198 TRUE
Standard 31 1021 FALSE
Standard 32 280 TRUE
Standard 33 21 TRUE
Standard 34 303 TRUE
Standard 35 1027 FALSE
Standard 36 413 FALSE
Standard 37 69 TRUE
Standard 38 716 TRUE
Standard 39 69 TRUE
Standard 40 878 FALSE
Standard 41 12 TRUE
Standard 42 551 FALSE
Standard 43 112 TRUE
Standard 44 170 TRUE
Standard 45 146 TRUE
Standard 46 41 TRUE
Standard 47 545 FALSE
Standard 48 155 TRUE
Standard 49 1030 FALSE
Standard 50 1011 FALSE
Standard 51 974 FALSE
Standard 52 55 TRUE
Standard 53 17 TRUE
Standard 54 879 FALSE
Standard 55 1648 FALSE
Standard 56 74 TRUE
Standard 57 413 FALSE
Standard 58 187 TRUE
Standard 59 111 TRUE
Standard 60 52 TRUE
Standard 61 1146 FALSE
Standard 62 198 TRUE
Standard 63 530 FALSE
Standard 64 516 FALSE
Standard 65 862 FALSE
Standard 66 666 FALSE
Standard 67 33 TRUE
Standard 68 288 TRUE
Standard 69 972 FALSE
Standard 70 19 TRUE
Standard 71 950 FALSE
Standard 72 115 TRUE
Standard 73 42 TRUE
Standard 74 100 TRUE
Standard 75 411 TRUE
Standard 76 476 FALSE
Standard 77 37 TRUE
Standard 78 207 TRUE
Standard 79 32 TRUE
Standard 80 861 FALSE
Standard 81 188 TRUE
Standard 82 61 TRUE
Standard 83 539 FALSE
Standard 84 211 TRUE
Standard 85 893 TRUE
Standard 86 1048 FALSE
Standard 87 794 FALSE
Standard 88 13 TRUE
Standard 89 949 FALSE
Standard 90 1002 FALSE
Standard 91 38 TRUE
Standard 92 26 TRUE
Standard 93 44 TRUE
Standard 94 134 TRUE
Standard 95 177 TRUE
Standard 96 353 FALSE
Standard 97 978 FALSE
Standard 98 976 FALSE
Standard 99 1387 FALSE
